AlarmID,AlarmText,Enable
74,"0x004A 0x00 : Unload, CS0, TR_REQ ON->READY ON : TR_REQ OFF",0
75,"0x004B 0x00 : Unload, CS0, TR_REQ ON->READY ON : BUSY OFF",0
76,"0x004C 0x00 : Unload, CS0, TR_REQ ON->READY ON : COMPT OFF",0
77,"0x004D 0x00 : Unload, CS0, TR_REQ ON->READY ON : CONT OFF",0
78,"0x004E 0x05 : Unload, CS0, TR_REQ ON->READY ON : ES OFF",1
79,"0x004F 0x00 : Unload, CS0, TR_REQ ON->READY ON : Clamp ON",0
80,"0x0050 0x00 : Unload, CS0, TR_REQ ON->READY ON : EQ_ER ON",0
81,"0x0051 0x00 : Unload, CS0, TR_REQ ON->READY ON : Light Curtain ON",0
82,"0x0052 0x00 : Unload, CS0, TR_REQ ON->READY ON : PS ON",0
83,"0x0053 0x00 : Unload, CS0, TR_REQ ON->READY ON : PL ON",0
84,0x0054 0x00 : Reserved : Reserved,0
85,0x0055 0x00 : Reserved : Reserved,0
86,"0x0056 0x00 : Unload, CS0, READY ON->BUSY ON : OHT PIO Off-line",0
87,"0x0057 0x00 : Unload, CS0, READY ON->BUSY ON : CS_0 OFF",0
88,"0x0058 0x00 : Unload, CS0, READY ON->BUSY ON : VALID OFF",0
89,"0x0059 0x00 : Unload, CS0, READY ON->BUSY ON : CS_1 OFF",0
90,"0x005A 0x00 : Unload, CS0, READY ON->BUSY ON : AM_AVBL OFF",0
91,"0x005B 0x00 : Unload, CS0, READY ON->BUSY ON : TR_REQ OFF",0
92,"0x005C 0x00 : Unload, CS0, READY ON->BUSY ON : COMPT OFF",0
93,"0x005D 0x00 : Unload, CS0, READY ON->BUSY ON : CONT OFF",0
94,"0x005E 0x05 : Unload, CS0, READY ON->BUSY ON : ES OFF",1
95,"0x005F 0x00 : Unload, CS0, READY ON->BUSY ON : Clamp ON",0
96,"0x0060 0x00 : Unload, CS0, READY ON->BUSY ON : EQ_ER ON",0
97,"0x0061 0x00 : Unload, CS0, READY ON->BUSY ON : Light Curtain ON",0
98,"0x0062 0x00 : Unload, CS0, READY ON->BUSY ON : PS OFF",0
99,"0x0063 0x00 : Unload, CS0, READY ON->BUSY ON : PL OFF",0
100,0x0064 0x00 : Reserved : Reserved,0
101,0x0065 0x00 : Reserved : Reserved,0
102,"0x0066 0x05 : Unload, CS0, BUSY ON->PS & PL OFF : OHT PIO Off-line",1
103,"0x0067 0x05 : Unload, CS0, BUSY ON->PS & PL OFF : CS_0 OFF",1
104,"0x0068 0x05 : Unload, CS0, BUSY ON->PS & PL OFF : VALID OFF",1
105,"0x0069 0x05 : Unload, CS0, BUSY ON->PS & PL OFF : CS_1 OFF",1
106,"0x006A 0x05 : Unload, CS0, BUSY ON->PS & PL OFF : AM_AVBL OFF",1
107,"0x006B 0x05 : Unload, CS0, BUSY ON->PS & PL OFF : TR_REQ OFF",1
108,"0x006C 0x05 : Unload, CS0, BUSY ON->PS & PL OFF : BUSY OFF",1
109,"0x006D 0x05 : Unload, CS0, BUSY ON->PS & PL OFF : COMPT OFF",1
110,"0x006E 0x05 : Unload, CS0, BUSY ON->PS & PL OFF : ES OFF",1
111,"0x006F 0x05 : Unload, CS0, BUSY ON->PS & PL OFF : Clamp ON",1
112,"0x0070 0x05 : Unload, CS0, BUSY ON->PS & PL OFF : EQ_ER ON",1
113,"0x0071 0x05 : Unload, CS0, BUSY ON->PS & PL OFF : Light Curtain ON",1
114,0x0072 0x00 : Reserved : Reserved,0
115,0x0073 0x00 : Reserved : Reserved,0
116,"0x0074 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : OHT PIO Off-line",1
117,"0x0075 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : CS_0 OFF",1
118,"0x0076 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : VALID OFF",1
119,"0x0077 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : CS_1 OFF",1
120,"0x0078 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : AM_AVBL OFF",1
121,"0x0079 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : TR_REQ OFF",1
122,"0x007A 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : BUSY OFF",1
123,"0x007B 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : COMPT OFF",1
124,"0x007C 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : ES OFF",1
125,"0x007D 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : Clamp ON",1
126,"0x007E 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : EQ_ER ON",1
127,"0x007F 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : Light Curtain ON",1
128,"0x0080 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : PS OFF",1
129,"0x0081 0x05 : Unload, CS0, PS & PL OFF->U_REQ OFF : PL OFF",1
130,0x0082 0x00 : Reserved : Reserved,0
131,0x0083 0x00 : Reserved : Reserved,0
132,"0x0084 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : OHT PIO Off-line",1
133,"0x0085 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : CS_0 OFF",1
134,"0x0086 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : VALID OFF",1
135,"0x0087 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : CS_1 OFF",1
136,"0x0088 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : AM_AVBL OFF",1
137,"0x0089 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : TR_REQ OFF",1
138,"0x008A 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : COMPT OFF",1
139,"0x008B 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : ES OFF",1
140,"0x008C 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : Clamp ON",1
141,"0x008D 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : EQ_ER ON",1
142,"0x008E 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : Light Curtain ON",1
143,"0x008F 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : PS ON",1
144,"0x0090 0x05 : Unload, CS0, U_REQ OFF->BUSY OFF : PL ON",1
145,0x0091 0x00 : Reserved : Reserved,0
146,0x0092 0x00 : Reserved : Reserved,0
147,"0x0093 0x00 : Unload, CS0, BUSY OFF->COMPT ON : OHT PIO Off-line",0
148,"0x0094 0x00 : Unload, CS0, BUSY OFF->COMPT ON : CS_0 OFF",0
149,"0x0095 0x00 : Unload, CS0, BUSY OFF->COMPT ON : VALID OFF",0
150,"0x0096 0x00 : Unload, CS0, BUSY OFF->COMPT ON : CS_1 OFF",0
151,"0x0097 0x00 : Unload, CS0, BUSY OFF->COMPT ON : AM_AVBL OFF",0
152,"0x0098 0x00 : Unload, CS0, BUSY OFF->COMPT ON : TR_REQ OFF",0
153,"0x0099 0x00 : Unload, CS0, BUSY OFF->COMPT ON : BUSY OFF",0
154,"0x009A 0x05 : Unload, CS0, BUSY OFF->COMPT ON : ES OFF",1
155,"0x009B 0x00 : Unload, CS0, BUSY OFF->COMPT ON : Clamp ON",0
156,"0x009C 0x00 : Unload, CS0, BUSY OFF->COMPT ON : EQ_ER ON",0
157,"0x009D 0x00 : Unload, CS0, BUSY OFF->COMPT ON : Light Curtain ON",0
158,"0x009E 0x00 : Unload, CS0, BUSY OFF->COMPT ON : PS OFF",0
159,"0x009F 0x00 : Unload, CS0, BUSY OFF->COMPT ON : PL OFF",0
160,0x00A0 0x00 : Reserved : Reserved,0
161,0x00A1 0x00 : Reserved : Reserved,0
162,"0x00A2 0x00 : Unload, CS0, COMPT ON->READY OFF : OHT PIO Off-line",0
163,"0x00A3 0x00 : Unload, CS0, COMPT ON->READY OFF : CS_0 OFF",0
164,"0x00A4 0x00 : Unload, CS0, COMPT ON->READY OFF : VALID OFF",0
165,"0x00A5 0x00 : Unload, CS0, COMPT ON->READY OFF : CS_1 OFF",0
166,"0x00A6 0x00 : Unload, CS0, COMPT ON->READY OFF : AM_AVBL OFF",0
167,"0x00A7 0x00 : Unload, CS0, COMPT ON->READY OFF : TR_REQ OFF",0
168,"0x00A8 0x00 : Unload, CS0, COMPT ON->READY OFF : BUSY OFF",0
169,"0x00A9 0x00 : Unload, CS0, COMPT ON->READY OFF : COMPT OFF",0
170,"0x00AA 0x05 : Unload, CS0, COMPT ON->READY OFF : ES OFF",1
171,"0x00AB 0x00 : Unload, CS0, COMPT ON->READY OFF : Clamp ON",0
172,"0x00AC 0x00 : Unload, CS0, COMPT ON->READY OFF : EQ_ER ON",0
173,"0x00AD 0x00 : Unload, CS0, COMPT ON->READY OFF : Light Curtain ON",0
174,"0x00AE 0x00 : Unload, CS0, COMPT ON->READY OFF : PS OFF",0
175,"0x00AF 0x00 : Unload, CS0, COMPT ON->READY OFF : PL OFF",0
176,0x00B0 0x00 : Reserved : Reserved,0
177,0x00B1 0x00 : Reserved : Reserved,0
178,"0x00B2 0x00 : Unload, CS0, READY OFF->CS_0 OFF : OHT PIO Off-line",0
179,0x00B3 0x00 : Reserved : Reserved,0
180,"0x00B4 0x00 : Unload, CS0, READY OFF->CS_0 OFF : AM_AVBL OFF",0
181,"0x00B5 0x00 : Unload, CS0, READY OFF->CS_0 OFF : TR_REQ OFF",0
182,"0x00B6 0x00 : Unload, CS0, READY OFF->CS_0 OFF : BUSY OFF",0
183,"0x00B7 0x05 : Unload, CS0, READY OFF->CS_0 OFF : ES OFF",1
184,"0x00B8 0x00 : Unload, CS0, READY OFF->CS_0 OFF : Clamp ON",0
185,"0x00B9 0x00 : Unload, CS0, READY OFF->CS_0 OFF : EQ_ER ON",0
186,"0x00BA 0x00 : Unload, CS0, READY OFF->CS_0 OFF : Light Curtain ON",0
187,"0x00BB 0x00 : Unload, CS0, READY OFF->CS_0 OFF : PS ON",0
188,"0x00BC 0x00 : Unload, CS0, READY OFF->CS_0 OFF : PL ON",0
189,0x00BD 0x00 : Reserved : Reserved,0
190,0x00BE 0x00 : Reserved : Reserved,0
191,0x00BF 0x00 : Reserved : Reserved,0
4096,"0x1000 0x05 : Load, CS0, Ready->GO ON : ES OFF",1
4097,"0x1001 0x00 : Load, CS0, Ready->GO ON : Clamp ON",0
4098,"0x1002 0x00 : Load, CS0, Ready->GO ON : EQ ERROR",0
4099,"0x1003 0x00 : Load, CS0, Ready->GO ON : Light Curtain ERROR",0
4100,"0x1004 0x00 : Load, CS0, Ready->GO ON : PS ON",0
4101,"0x1005 0x00 : Load, CS0, Ready->GO ON : PL ON",0
4102,"0x1006 0x00 : Load, CS0, GO ON->CS_0 ON : VALID OFF",0
4103,"0x1007 0x00 : Load, CS0, GO ON->CS_0 ON : AM_AVBL OFF",0
4104,"0x1008 0x00 : Load, CS0, GO ON->CS_0 ON : TR_REQ OFF",0
4105,"0x1009 0x00 : Load, CS0, GO ON->CS_0 ON : BUSY OFF",0
4106,"0x100A 0x00 : Load, CS0, GO ON->CS_0 ON : COMPT OFF",0
4107,"0x100B 0x00 : Load, CS0, GO ON->CS_0 ON : CONT OFF",0
4108,"0x100C 0x05 : Load, CS0, GO ON->CS_0 ON : ES OFF",1
4109,"0x100D 0x00 : Load, CS0, GO ON->CS_0 ON : Clamp ON",0
4110,"0x100E 0x00 : Load, CS0, GO ON->CS_0 ON : EQ_ER ON",0
4111,"0x100F 0x00 : Load, CS0, GO ON->CS_0 ON : Light Curtain ON",0
4112,"0x1010 0x00 : Load, CS0, GO ON->CS_0 ON : PS ON",0
4113,"0x1011 0x00 : Load, CS0, GO ON->CS_0 ON : PL ON",0
4114,0x1012 0x00 : Reserved : Reserved,0
4115,0x1013 0x00 : Reserved : Reserved,0
4116,"0x1014 0x00 : Load, CS0, CS_0 ON->VALID ON : OHT PIO Off-line",0
4117,"0x1015 0x00 : Load, CS0, CS_0 ON->VALID ON : CS_0 OFF",0
4118,"0x1016 0x00 : Load, CS0, CS_0 ON->VALID ON : CS_1 OFF",0
4119,"0x1017 0x00 : Load, CS0, CS_0 ON->VALID ON : AM_AVBL OFF",0
4120,"0x1018 0x00 : Load, CS0, CS_0 ON->VALID ON : TR_REQ OFF",0
4121,"0x1019 0x00 : Load, CS0, CS_0 ON->VALID ON : BUSY OFF",0
4122,"0x101A 0x00 : Load, CS0, CS_0 ON->VALID ON : COMPT OFF",0
4123,"0x101B 0x00 : Load, CS0, CS_0 ON->VALID ON : CONT OFF",0
4124,"0x101C 0x05 : Load, CS0, CS_0 ON->VALID ON : ES OFF",1
4125,"0x101D 0x00 : Load, CS0, CS_0 ON->VALID ON : Clamp ON",0
4126,"0x101E 0x00 : Load, CS0, CS_0 ON->VALID ON : EQ_ER ON",0
4127,"0x101F 0x00 : Load, CS0, CS_0 ON->VALID ON : Light Curtain ON",0
